唯一識別碼,資料類型,語系,資料名稱,文字描述,聯絡電話,分機,縣市名稱,行政區(鄉鎮區)名稱,街道名稱,資料提供單位機關代碼,資料提供單位,資料更新日期時間
TourismServiceSite_A15010000H_000028,TourismServiceSite,Zh_tw,彰化火車站旅遊服務中心,,(04)7285750,,彰化縣,彰化市,三民路1號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000029,TourismServiceSite,Zh_tw,二水火車站旅遊服務中心,,(04)8798129,,彰化縣,二水鄉,光文路1號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000030,TourismServiceSite,Zh_tw,高鐵彰化站旅遊服務中心,,(04)7005770,,彰化縣,田中鎮,站區路二段99號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000031,TourismServiceSite,Zh_tw,員林火車站旅遊服務中心,,(04)8361762,,彰化縣,員林市,民權街55號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000032,TourismServiceSite,Zh_tw,斗六火車站旅遊服務中心,,(05)5346806,,雲林縣,斗六市,民生路187號2樓,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000033,TourismServiceSite,Zh_tw,高鐵雲林站旅遊服務中心,,(05)7005288,,雲林縣,虎尾鎮,站前東路301號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000035,TourismServiceSite,Zh_tw,高鐵嘉義站旅遊服務中心,,(05)3107007,,嘉義縣,太保市,高鐵西路168號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000036,TourismServiceSite,Zh_tw,臺南機場旅遊服務中心,,(06)3359209,,臺南市,南區,機場路775號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000037,TourismServiceSite,Zh_tw,臺南火車站旅遊服務中心,,(06)2290082,,臺南市,東區,北門路二段4號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000038,TourismServiceSite,Zh_tw,新營火車站旅遊服務中心,,(06)6378821,,臺南市,新營區,中山路1號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000039,TourismServiceSite,Zh_tw,高鐵臺南站旅遊服務中心,,(06)6008338,,臺南市,歸仁區,歸仁大道100號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000040,TourismServiceSite,Zh_tw,高雄火車站旅遊服務中心,,(07)2362710,,高雄市,三民區,建國二路318號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000041,TourismServiceSite,Zh_tw,高鐵左營站旅遊服務中心,,(07)8629110,,高雄市,左營區,高鐵路105號(3號出口處),A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000042,TourismServiceSite,Zh_tw,高雄機場旅遊服務中心-國內航廈,,(07)8019206,,高雄市,小港區,中山四路2號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000043,TourismServiceSite,Zh_tw,屏東火車站旅遊服務中心,,(08)7517621,,屏東縣,屏東市,公勇路62號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000044,TourismServiceSite,Zh_tw,恆春轉運站旅遊服務中心,,(08)8881542,,屏東縣,恆春鎮,中正路30號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000045,TourismServiceSite,Zh_tw,宜蘭火車站旅遊服務中心,,(03)9312152,,宜蘭縣,宜蘭市,宜興路一段252號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000047,TourismServiceSite,Zh_tw,花蓮轉運站旅遊服務中心,,(03)8360634,,花蓮縣,花蓮市,國聯一路98號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000049,TourismServiceSite,Zh_tw,臺東火車站旅遊服務中心,,(089)238231,,臺東縣,臺東市,岩灣路101巷598號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000050,TourismServiceSite,Zh_tw,臺東縣旅遊服務中心,,(089)357131,,臺東縣,臺東市,鐵花路369號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000051,TourismServiceSite,Zh_tw,金門尚義機場旅遊服務中心,,(082)329354,,金門縣,金湖鎮,尚義機場2號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000052,TourismServiceSite,Zh_tw,金門水頭碼頭旅遊服務中心,,(082)322124,,金門縣,金城鎮,西海路一段5號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000056,TourismServiceSite,Zh_tw,福隆遊客中心,,(02)24991210,,新北市,貢寮區,福隆里興隆街36號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000057,TourismServiceSite,Zh_tw,大里遊客中心,,(03)9780727,,宜蘭縣,頭城鎮,濱海路七段11號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000058,TourismServiceSite,Zh_tw,南方澳遊客中心,,(03)9953885,,宜蘭縣,蘇澳鎮,南正里2鄰江夏路85號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000059,TourismServiceSite,Zh_tw,花蓮遊客中心,,(03)8671326,,花蓮縣,壽豐鄉,鹽寮村大坑5號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000060,TourismServiceSite,Zh_tw,八仙洞遊客中心,,(089)881418,,臺東縣,長濱鄉,三間村水母丁1-4號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000061,TourismServiceSite,Zh_tw,都歷遊客中心,,(089)841520,,臺東縣,成功鎮,信義里新村路25號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000062,TourismServiceSite,Zh_tw,小野柳遊客中心,,(089)281136,,臺東縣,臺東市,松江路一段500號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000063,TourismServiceSite,Zh_tw,綠島遊客中心,,(089)672026,,臺東縣,綠島鄉,南寮村298號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000064,TourismServiceSite,Zh_tw,秀姑巒溪遊客中心,,(03)8875400,,花蓮縣,瑞穗鄉,中山路三段215號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000065,TourismServiceSite,Zh_tw,奚卜蘭遊客中心,,(03)8781218,,花蓮縣,豐濱鄉,靜浦村靜浦8-1號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000066,TourismServiceSite,Zh_tw,三仙台遊客中心,,(089)854097,,臺東縣,成功鎮,三仙里基翬路87號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000067,TourismServiceSite,Zh_tw,澎湖遊客中心,,(06)9216445,,澎湖縣,馬公市,光華里171號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000068,TourismServiceSite,Zh_tw,北海遊客中心,,(06)9933082,,澎湖縣,白沙鄉,赤崁村37-4號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000069,TourismServiceSite,Zh_tw,吉貝遊客中心,,(06)9911487,,澎湖縣,白沙鄉,吉貝村182-2號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000070,TourismServiceSite,Zh_tw,岐頭遊客中心,,(06)9931527,,澎湖縣,白沙鄉,岐頭村16-5號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000071,TourismServiceSite,Zh_tw,後寮遊客中心,,(06)9933437,,澎湖縣,白沙鄉,後寮村104-18號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000072,TourismServiceSite,Zh_tw,南海遊客中心,,(06)9264738,,澎湖縣,馬公市,光復里1鄰新營路25號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000073,TourismServiceSite,Zh_tw,七美遊客中心,,(06)9971954,,澎湖縣,七美鄉,南港村南滬26-4號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000074,TourismServiceSite,Zh_tw,西嶼西臺遊客中心,,(06)9981577,,澎湖縣,西嶼鄉,外垵村1鄰1-15號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000075,TourismServiceSite,Zh_tw,大鵬灣遊客中心,,(08)8338100,,屏東縣,東港鎮,大潭路169號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000076,TourismServiceSite,Zh_tw,琉球遊客中心,,(08)8614615,,屏東縣,琉球鄉,民族路20-1號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000077,TourismServiceSite,Zh_tw,鯉魚潭遊客中心,,(03)8641691,,花蓮縣,壽豐鄉,池南村環潭北路100號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000078,TourismServiceSite,Zh_tw,羅山遊客中心,,(03)8821725,,花蓮縣,富里鄉,羅山村9鄰東湖39號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000079,TourismServiceSite,Zh_tw,鹿野遊客中心,,(089)551637,,臺東縣,鹿野鄉,永安村高臺路46號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000080,TourismServiceSite,Zh_tw,卑南遊客中心,,(089)239462,,臺東縣,卑南鄉,賓朗村16鄰賓朗路286號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000081,TourismServiceSite,Zh_tw,利吉資訊站,,(089)239432,,臺東縣,卑南鄉,利吉村3鄰利吉路52號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000082,TourismServiceSite,Zh_tw,鶴岡遊客中心,,(03)8875306,,花蓮縣,瑞穗鄉,鶴岡村17鄰興鶴路二段168號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000083,TourismServiceSite,Zh_tw,南竿遊客中心,,(0836)25630,,連江縣,南竿鄉,仁愛村95-2號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000084,TourismServiceSite,Zh_tw,北竿遊客中心,,(0836)56531,,連江縣,北竿鄉,坂里村47號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000085,TourismServiceSite,Zh_tw,東引遊客中心,,(0836)77267,,連江縣,東引鄉,樂華村160-1號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000086,TourismServiceSite,Zh_tw,莒光遊客中心,,(0836)89388,,連江縣,莒光鄉,福正村1號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000087,TourismServiceSite,Zh_tw,向山遊客中心,,(049)2341256,,南投縣,魚池鄉,水社村中山路599號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000088,TourismServiceSite,Zh_tw,車埕遊客中心,,(049)2774981,,南投縣,水里鄉,車埕村民權巷127號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000089,TourismServiceSite,Zh_tw,伊達邵遊客中心,,(049)2850289,,南投縣,魚池鄉,日月村文化街127號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000090,TourismServiceSite,Zh_tw,埔里遊客中心,,(049)2916060,,南投縣,埔里鎮,中山路四段191號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000091,TourismServiceSite,Zh_tw,獅山遊客中心,,(03)5809296,,新竹縣,峨眉鄉,七星村六寮60-8號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000092,TourismServiceSite,Zh_tw,南庄遊客中心,,(03)7824570,,苗栗縣,南庄鄉,東村4鄰大同路43號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000093,TourismServiceSite,Zh_tw,梨山遊客中心,,(04)25981331,,臺中市,和平區,梨山里中正路91-2號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000094,TourismServiceSite,Zh_tw,谷關遊客中心,,(04)25951496,,臺中市,和平區,東關路一段102號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000095,TourismServiceSite,Zh_tw,八卦山脈生態遊客中心,,(04)7289608,,彰化縣,彰化市,卦山路13-7號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000096,TourismServiceSite,Zh_tw,松柏嶺遊客中心,,(049)2580525,,南投縣,名間鄉,名松路二段181號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000097,TourismServiceSite,Zh_tw,觸口遊客中心,,(05)2593900,,嘉義縣,番路鄉,觸口村車埕51號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000098,TourismServiceSite,Zh_tw,文峰遊客中心,,(05)2617212,,嘉義縣,竹崎鄉,文峰村溪州仔22號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000099,TourismServiceSite,Zh_tw,達邦遊客中心,,(05)2511982,,嘉義縣,阿里山鄉,達邦村1鄰21號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000101,TourismServiceSite,Zh_tw,新威遊客中心,,(07)6871234,,高雄市,六龜區,新威里新威171號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000102,TourismServiceSite,Zh_tw,禮納里遊客中心,,(08)7997245,,屏東縣,瑪家鄉,瑪家村和平路一段63號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000103,TourismServiceSite,Zh_tw,觀音山遊客中心,,(02)22928888,,新北市,五股區,凌雲路三段130號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000104,TourismServiceSite,Zh_tw,三芝遊客中心,,(02)86355143,,新北市,三芝區,埔坪里埔頭坑164-2號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000105,TourismServiceSite,Zh_tw,白沙灣遊客中心,,(02)86355100,,新北市,石門區,德茂里下員坑33-6號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000106,TourismServiceSite,Zh_tw,金山遊客中心,,(02)24988980,,新北市,金山區,磺港路171-2號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000107,TourismServiceSite,Zh_tw,和平島遊客中心,,(02)24635452,,基隆市,中正區,平一路360號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000108,TourismServiceSite,Zh_tw,野柳遊客中心,,(02)24922016,,新北市,萬里區,港東路167-1號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000109,TourismServiceSite,Zh_tw,北門遊客中心,,(06)7861017,,臺南市,北門區,北門里舊埕200號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000110,TourismServiceSite,Zh_tw,口湖遊客中心,,(05)7906601,,雲林縣,口湖鄉,梧南村光明路163號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000112,TourismServiceSite,Zh_tw,南化遊客中心,,(06)5771046,,臺南市,南化區,西埔里西埔1-3號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000113,TourismServiceSite,Zh_tw,中埔遊客中心,,(05)2530053,,嘉義縣,中埔鄉,同仁村同仁1-9號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000114,TourismServiceSite,Zh_tw,礁溪轉運站旅遊服務中心,,(03)9872998,,宜蘭縣,礁溪鄉,公園路16號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000116,TourismServiceSite,Zh_tw,澎湖機場旅遊服務中心,,(06)9228115,,澎湖縣,湖西鄉,隘門村126-5號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000118,TourismServiceSite,Zh_tw,馬祖南竿機場旅遊服務中心,,(0836)26402,,連江縣,南竿鄉,復興村220號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000120,TourismServiceSite,Zh_tw,壯圍旅遊服務園區,,(03)9382420,,宜蘭縣,壯圍鄉,壯濱路二段196巷18號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000124,TourismServiceSite,Zh_tw,纜車貓空站遊客中心,,(02)29378563,,臺北市,文山區,指南路三段38巷35號(纜車貓空站出口處),A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000125,TourismServiceSite,Zh_tw,大稻埕遊客中心,,(02)25596802,,臺北市,大同區,迪化街一段44號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000126,TourismServiceSite,Zh_tw,十分遊客中心,,(02)24958409,,新北市,平溪區,南山里南山坪136號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000127,TourismServiceSite,Zh_tw,九份遊客中心,,(02)24063270,,新北市,瑞芳區,汽車路89號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000128,TourismServiceSite,Zh_tw,猴硐煤礦博物園區資訊站,,(02)24974143,,新北市,瑞芳區,柴寮路42號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000129,TourismServiceSite,Zh_tw,猴硐遊客中心,,(02)24974168,,新北市,瑞芳區,光復里新介壽橋頭,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000130,TourismServiceSite,Zh_tw,九份輕便路遊客中心,,(02)24973949,,新北市,瑞芳區,輕便路194號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000131,TourismServiceSite,Zh_tw,烏來遊客中心,,(02)26616355,,新北市,烏來區,烏來街45-1號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000132,TourismServiceSite,Zh_tw,烏來瀑布遊客中心,,(02)26616942,,新北市,烏來區,瀑布路34號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000133,TourismServiceSite,Zh_tw,水湳洞遊客中心,,(02)24961588,,新北市,瑞芳區,濂洞里洞頂路155-8號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000134,TourismServiceSite,Zh_tw,慈湖遊客中心,,(03)3884437,,桃園市,大溪區,復興路一段1097號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000135,TourismServiceSite,Zh_tw,拉拉山遊客中心,,(03)3912761,,桃園市,復興區,華陵里7鄰29號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000136,TourismServiceSite,Zh_tw,北橫遊客中心,,(03)3884437,,桃園市,大溪區,復興路一段896號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
